CustomerID,Hour,Day,Weekend,Orders,Revenue
12347.0,8,2,False,1,253.95
12347.0,10,7,False,1,215.35
12347.0,12,31,False,1,685.76
12347.0,13,9,False,1,180.7
12347.0,14,7,False,1,185.05
12347.0,14,26,False,1,221.49
12347.0,15,7,False,1,21.78
12348.0,10,5,False,1,17.0
12348.0,10,25,False,1,62.16
12348.0,19,16,False,1,507.59999999999997
12349.0,9,21,False,1,801.4
12350.0,16,2,False,1,20.4
12352.0,12,16,False,1,96.9
12352.0,14,1,False,1,34.65
12352.0,14,3,False,1,60.699999999999996
12352.0,14,20,False,1,150.8
12352.0,14,28,False,1,110.05
12352.0,16,17,False,1,69.92999999999999
12352.0,16,22,False,2,139.86
12353.0,17,19,False,1,89.0
12354.0,13,21,False,1,413.09999999999997
12355.0,13,9,False,1,138.10000000000002
12356.0,8,17,False,1,58.349999999999994
12356.0,9,18,False,1,1887.62
12356.0,12,8,False,1,379.06
12357.0,16,6,True,1,2753.52
12358.0,10,8,False,1,14.04
12358.0,10,12,False,1,68.67999999999999
12359.0,11,2,False,1,48.75
12359.0,12,3,False,1,519.35
12359.0,12,12,False,1,131.4
12359.0,12,13,False,1,1218.74
12359.0,13,13,False,1,29.9
12359.0,14,7,False,1,439.45
12360.0,9,23,False,1,467.76
12360.0,10,19,False,1,277.84000000000003
12360.0,15,18,False,1,520.58
12361.0,13,25,False,1,155.1
12362.0,9,4,False,1,321.76
12362.0,9,28,False,1,260.08
12362.0,10,17,False,1,146.7
12362.0,10,19,False,1,17.9
12362.0,10,28,False,1,302.33
12362.0,12,7,False,1,157.33
12362.0,12,28,False,1,370.65000000000003
12362.0,13,24,False,1,1.95
12362.0,13,26,False,1,343.95
12362.0,14,11,False,1,325.8
12362.0,14,28,False,1,48.85
12362.0,15,6,False,1,245.0
12362.0,15,11,False,1,219.03
12364.0,10,2,False,1,55.8
12364.0,15,19,False,1,365.3
12364.0,15,30,True,1,65.6
12365.0,13,21,False,1,170.04000000000002
12367.0,16,5,False,1,107.39999999999999
12370.0,9,17,False,1,111.6
12370.0,12,10,False,1,282.75
12370.0,12,14,False,1,845.1999999999999
12370.0,14,19,False,1,439.02
12371.0,10,11,False,1,613.13
12372.0,10,11,False,1,295.20000000000005
12372.0,12,16,False,1,207.7
12372.0,12,29,False,1,128.3
12373.0,13,1,False,1,304.8
12374.0,15,14,False,1,428.38
12375.0,10,29,False,1,187.20000000000002
12375.0,11,7,False,1,2.08
12375.0,14,2,False,1,108.7
12377.0,9,20,False,1,295.2
12377.0,15,28,False,1,128.7
12378.0,10,2,False,1,1792.43
12379.0,10,7,False,1,1.95
12379.0,10,19,False,1,252.9
12379.0,16,22,False,1,140.4
12380.0,9,7,False,1,393.15000000000003
12380.0,11,14,False,1,212.9
12380.0,11,18,False,1,473.6
12380.0,16,24,False,1,4.25
12380.0,17,22,False,1,403.66
12381.0,9,12,False,1,591.65
12381.0,12,5,False,1,82.05
12381.0,13,6,True,1,240.9
12381.0,17,31,False,1,11.85
12383.0,8,8,False,1,22.7
12383.0,8,14,False,1,48.60000000000001
12383.0,14,12,False,1,181.98
12383.0,14,22,False,1,316.92
12384.0,8,11,False,1,85.3
12384.0,10,21,False,1,11.61
12384.0,11,10,False,1,181.79000000000002
12386.0,9,8,False,1,60.900000000000006
12388.0,11,17,False,1,223.65
12388.0,11,25,True,1,538.88
12388.0,12,24,False,1,170.24
12388.0,13,7,False,1,70.2
