CustomerID,TotalRevenue,OrderCount,TotalQuantity,AOV,RevenueRank,Segment
12347.0,1764.08,7,1220.0,252.01142857142855,0.9009030418250951,High Value
12348.0,586.76,3,1040.0,195.58666666666667,0.6739543726235742,Mid Value
12349.0,801.4,1,334.0,801.4,0.7442965779467681,Mid Value
12350.0,20.4,1,24.0,20.4,0.019961977186311788,Low Value
12352.0,662.89,8,279.0,82.86125,0.7015209125475285,Mid Value
12353.0,89.0,1,20.0,89.0,0.1631416349809886,Low Value
12354.0,413.09999999999997,1,162.0,413.09999999999997,0.5750950570342205,Mid Value
12355.0,138.10000000000002,1,30.0,138.10000000000002,0.2647338403041825,Mid Value
12356.0,2325.03,3,1997.0,775.0100000000001,0.9322718631178707,High Value
12357.0,2753.52,1,1430.0,2753.52,0.9453422053231939,High Value
12358.0,82.72,2,120.0,41.36,0.14781368821292776,Low Value
12359.0,2387.59,6,665.0,397.9316666666667,0.9334600760456274,High Value
12360.0,1266.18,3,596.0,422.06,0.8410171102661597,High Value
12361.0,155.1,1,78.0,155.1,0.2977661596958175,Mid Value
12362.0,2761.33,13,1261.0,212.41,0.9458174904942965,High Value
12364.0,486.7,3,544.0,162.23333333333332,0.62143536121673,Mid Value
12365.0,170.04000000000002,1,76.0,170.04000000000002,0.3215304182509506,Mid Value
12367.0,107.39999999999999,1,60.0,107.39999999999999,0.2022338403041825,Mid Value
12370.0,1678.57,4,1153.0,419.6425,0.8935361216730038,High Value
12371.0,613.13,1,215.0,613.13,0.686787072243346,Mid Value
12372.0,631.2,3,283.0,210.4,0.6934410646387833,Mid Value
12373.0,304.8,1,254.0,304.8,0.49500950570342206,Mid Value
12374.0,428.38,1,212.0,428.38,0.5848384030418251,Mid Value
12375.0,297.98,3,231.0,99.32666666666667,0.4876425855513308,Mid Value
12377.0,423.9,2,178.0,211.95,0.5819866920152091,Mid Value
12378.0,1792.43,1,1097.0,1792.43,0.9042300380228137,High Value
12379.0,395.25,3,215.0,131.75,0.5625,Mid Value
12380.0,1487.56,5,719.0,297.512,0.8711977186311787,High Value
12381.0,926.45,4,576.0,231.6125,0.777328897338403,Mid Value
12383.0,570.2,4,629.0,142.55,0.6661121673003803,Mid Value
12384.0,278.7,3,77.0,92.89999999999999,0.4667300380228137,Mid Value
12386.0,60.900000000000006,1,106.0,60.900000000000006,0.10194866920152092,Low Value
12388.0,1465.63,6,1109.0,244.27166666666668,0.8676330798479087,High Value
12390.0,240.5,1,222.0,240.5,0.4215779467680608,Mid Value
12391.0,206.70000000000002,1,104.0,206.70000000000002,0.3740494296577947,Mid Value
12393.0,936.6,3,890.0,312.2,0.7789923954372624,Mid Value
12394.0,819.5,2,538.0,409.75,0.7490494296577946,Mid Value
12395.0,1533.1100000000001,14,1345.0,109.50785714285715,0.8766634980988594,High Value
12397.0,1177.97,2,569.0,588.985,0.8250950570342205,High Value
12398.0,438.24,1,455.0,438.24,0.591967680608365,Mid Value
12399.0,724.62,4,1302.0,181.155,0.7214828897338403,Mid Value
12401.0,36.45,1,3.0,36.45,0.05038022813688213,Low Value
12402.0,174.0,1,80.0,174.0,0.3258079847908745,Mid Value
12405.0,659.73,1,405.0,659.73,0.7010456273764258,Mid Value
12406.0,1560.19,2,1093.0,780.095,0.8807034220532319,High Value
12407.0,1164.34,5,1087.0,232.868,0.8220057034220533,High Value
12408.0,1355.95,7,868.0,193.70714285714286,0.8538498098859315,High Value
12409.0,5502.16,2,3364.0,2751.08,0.9783745247148289,High Value
